Item No.,Item Name,TID,Transaction
1,Digital Camera,T1,"Desk Top, Printer, Flash Drive, Microsoft Office, Speakers, Anti-Virus"
2,Laptop,T2,"Laptop, Flash Drive, Microsoft Office, Laptop Case, Anti-Virus"
3,Desk Top,T3,"Laptop, Printer, Flash Drive, Microsoft Office, Anti-Virus, Laptop Case, External Hard-Drive"
4,Printer,T4,"Laptop, Printer, Flash Drive, Anti-Virus, External Hard-Drive, Laptop Case"
5,Flash Drive,T5,"Laptop, Flash Drive, Laptop Case, Anti-Virus"
6,Microsoft Office,T6,"Laptop, Printer, Flash Drive, Microsoft Office"
7,Speakers,T7,"Desk Top, Printer, Flash Drive, Microsoft Office"
8,Laptop Case,T8,"Laptop, External Hard-Drive, Anti-Virus"
9,Anti-Virus,T9,"Desk Top, Printer, Flash Drive, Microsoft Office, Laptop Case, Anti-Virus, Speakers, External Hard-Drive"
10,External Hard-Drive,T10,"Digital Camera, Laptop, Desk Top, Printer, Flash Drive, Microsoft Office, Laptop Case, Anti-Virus, External Hard-Drive, Speakers"
,,T11,"Laptop, Desk Top, Laptop Case, External Hard-Drive, Speakers, Anti-Virus"
,,T12,"Digital Camera, Laptop, Laptop Case, External Hard-Drive, Anti-Virus, Speakers"
,,T13,"Digital Camera, Speakers"
,,T14,"Digital Camera, Desk Top, Printer, Flash Drive, Microsoft Office"
,,T15,"Printer, Flash Drive, Microsoft Office, Anti-Virus, Laptop Case, Speakers, External Hard-Drive"
,,T16,"Digital Camera, Flash Drive, Microsoft Office, Anti-Virus, Laptop Case, External Hard-Drive, Speakers"
,,T17,"Digital Camera, Laptop, Laptop Case"
,,T18,"Digital Camera, Laptop Case, Speakers"
,,T19,"Digital Camera, Laptop, Printer, Flash Drive, Microsoft Office, Speakers, Laptop Case, Anti-Virus"
,,T20,"Digital Camera, Laptop, Speakers, Anti-Virus, Laptop Case"
