Item No.,Item Name,TID,Transaction
1,Quilts,T1,"Decorative Pillows, Quilts, Embroidered Bedspread"
2,Bedspreads,T2,"Embroidered Bedspread, Shams, Kids Bedding, Bedding Collections, Bed Skirts, Bedspreads, Sheets, Towels"
3,Decorative Pillows,T3,"Decorative Pillows, Quilts, Embroidered Bedspread, Shams, Kids Bedding, Bedding Collections"
4,Bed Skirts,T4,"Kids Bedding, Bedding Collections, Sheets, Bedspreads, Bed Skirts, Towels, Shams"
5,Sheets,T5,"Decorative Pillows, Kids Bedding, Bedding Collections, Sheets, Bed Skirts, Bedspreads, Towels, Shams"
6,Shams,T6,"Bedding Collections, Bedspreads, Bed Skirts, Sheets, Shams, Kids Bedding, Towels"
7,Bedding Collections,T7,"Decorative Pillows, Quilts, Towels"
8,Kids Bedding,T8,"Decorative Pillows, Quilts, Embroidered Bedspread"
9,Embroidered Bedspread,T9,"Bedspreads, Bed Skirts, Shams, Kids Bedding, Sheets, Towels, Bedding Collections"
10,Towels,T10,"Quilts, Embroidered Bedspread, Bedding Collections"
,,T11,"Bedding Collections, Bedspreads, Bed Skirts, Kids Bedding, Shams, Sheets, Towels, Decorative Pillows"
,,T12,"Decorative Pillows, Quilts, Bedding Collections, Shams"
,,T13,"Embroidered Bedspread, Shams, Towels, Kids Bedding"
,,T14,"Sheets, Shams, Bed Skirts, Kids Bedding, Towels, Bedding Collections"
,,T15,"Decorative Pillows, Quilts, Towels, Bedspreads"
,,T16,"Decorative Pillows, Kids Bedding, Bed Skirts, Shams, Sheets, Embroidered Bedspread"
,,T17,"Decorative Pillows, Shams, Bed Skirts, Towels, Bedding Collections"
,,T18,"Quilts, Sheets, Kids Bedding, Towels, Bedding Collections"
,,T19,"Shams, Bed Skirts, Kids Bedding, Sheets, Towels, Bedding Collections"
,,T20,"Decorative Pillows, Bedspreads, Shams, Sheets, Bed Skirts, Kids Bedding, Towels"
